NSFName,UnitId,Year,AcademicDiscipline,TotalRDExpenditures
Northwestern University,147767,2013,Political Science and Public Administration,12157000
Northwestern University,147767,2014,Political Science and Public Administration,14311000
Northwestern University,147767,2015,Political Science and Public Administration,14427000
Northwestern University,147767,2016,Political Science and Public Administration,502000
Northwestern University,147767,2004,Psychology,4098000
Northwestern University,147767,2005,Psychology,3755000
Northwestern University,147767,2006,Psychology,3733000
Northwestern University,147767,2007,Psychology,3820000
Northwestern University,147767,2008,Psychology,3836000
Northwestern University,147767,2009,Psychology,3924000
Northwestern University,147767,2010,Psychology,4301000
Northwestern University,147767,2011,Psychology,3880000
Northwestern University,147767,2012,Psychology,4184000
Northwestern University,147767,2013,Psychology,4461000
Northwestern University,147767,2014,Psychology,4264000
Northwestern University,147767,2015,Psychology,3602000
Northwestern University,147767,2016,Psychology,4667000
Northwestern University,147767,2004,Social Service Professions,0
Northwestern University,147767,2005,Social Service Professions,0
Northwestern University,147767,2006,Social Service Professions,0
Northwestern University,147767,2007,Social Service Professions,0
Northwestern University,147767,2008,Social Service Professions,0
Northwestern University,147767,2009,Social Service Professions,0
Northwestern University,147767,2010,Social Service Professions,0
Northwestern University,147767,2011,Social Service Professions,0
Northwestern University,147767,2012,Social Service Professions,0
Northwestern University,147767,2013,Social Service Professions,0
Northwestern University,147767,2014,Social Service Professions,0
Northwestern University,147767,2015,Social Service Professions,0
Northwestern University,147767,2016,Social Service Professions,0
Northwestern University,147767,2004,Sociology,939000
Northwestern University,147767,2005,Sociology,1109000
Northwestern University,147767,2006,Sociology,1027000
Northwestern University,147767,2007,Sociology,879000
Northwestern University,147767,2008,Sociology,1251000
Northwestern University,147767,2009,Sociology,2393000
Northwestern University,147767,2010,Sociology,1608000
Northwestern University,147767,2011,Sociology,871000
Northwestern University,147767,2012,Sociology,1200000
Northwestern University,147767,2013,Sociology,900000
Northwestern University,147767,2014,Sociology,1731000
Northwestern University,147767,2015,Sociology,184   2000
Northwestern University,147767,2016,Sociology,551000
TEST,147767,2008,Sociology,1251000
TEST,147767,2009,Sociology,2393000
TEST,147767,2010,Sociology,1608000
TEST,147767,2011,Sociology,871000
TEST,147767,2012,Sociology,1200000
TEST,147767,2013,Sociology,900000
TEST,147767,2014,Sociology,1731000
TEST,147767,2015,Sociology,1842000
TEST,147767,2016,Sociology,551000
